stock,date,price,earnings_date,fiscal_date_ending,sector,sub_sector,market_cap_log,beta,daily_ret,drift_30d,drift_60d,vol_10d,vol_30d,vol_ratio_10_to_30,mom_5d,mom_20d,days_to_earnings,is_earnings_day,is_earnings_week,is_earnings_window,reaction_1d,reaction_3d,reaction_5d,is_up,is_down,is_nochange,reaction_std
MSFT,2025-04-17,365.808498586118,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.01030650413067391,-0.0022373707616979393,-0.0021033142112662478,0.04004123973328779,0.025239594469715465,1.5864454471062344,-0.04840536281066077,-0.034894691118785515,13.0,0,0,0,,,,0,0,0,
MSFT,2025-04-21,357.19492090991,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.023546685518516353,-0.0022376296254688582,-0.002963537354789932,0.03946267930650326,0.02523968003986829,1.5635174155999005,-0.03530537765863906,-0.042674249759283356,9.0,0,0,1,,,,0,0,0,
MSFT,2025-04-22,364.853644709772,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0214413009578982,-0.0027218480919998307,-0.003375031866905663,0.03845519507271631,0.025512161746428234,1.5073279738084184,-0.0774701305693144,-0.07764684779977127,8.0,0,0,1,,,,0,0,0,
MSFT,2025-04-23,372.383065380545,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,0.02063682460062144,-0.0008926651676101145,-0.002918805845888937,0.038933860563508456,0.02519953080561949,1.5450232333225116,-0.054381255921110205,-0.06085718513865779,7.0,0,0,1,,,,0,0,0,
MSFT,2025-04-24,385.223860738495,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,0.034482758620689946,-0.00023019890426729067,-0.00221830034617597,0.03902619995408287,0.02550394602911289,1.5302024208149696,-0.02838098014594237,-0.04551190424415441,6.0,0,0,1,,,,0,0,0,
MSFT,2025-04-25,389.749470256595,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,0.011747998967208684,0.0006721505518365367,-0.002128369243980375,0.023565660077863978,0.026251595423503183,0.8976848720122178,0.042707694530019324,0.002104774813827759,5.0,0,1,1,,,,0,0,0,
MSFT,2025-04-28,389.063169032971,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0017608778869465658,0.0014551195262029414,-0.0017510695593450328,0.022372330806539054,0.026218864464717696,0.853291371052516,0.06476219762790192,0.012288550892095462,2.0,0,1,1,,,,0,0,0,
MSFT,2025-04-29,391.92773066201,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,0.007362716024132965,0.0005348629309746407,-0.0007502665810156129,0.021704296994808928,0.025814603046867064,0.8407759342804624,0.0865480052594717,0.040687947468767804,1.0,0,1,1,,,,0,0,0,
MSFT,2025-04-30,393.141190796533,2025-04-30,2025-03-31,Technology,Software - Infrastructure,28.88254604140025,1.073,0.003096132372346627,0.0007682766412842379,-0.0006303659600024917,0.02177334321359526,0.025844610478007658,0.8424713242292112,0.07246942032570647,0.057052775425319724,0.0,1,1,1,0.07625360522188096,0.10350149268835862,0.09636694833780335,1,0,0,
MSFT,2025-05-01,423.119623955992,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.07625360522188096,0.0013156968156372757,-0.00041252272840278657,0.021627568765766613,0.02570934334082071,0.8412338066770788,0.054928728097431656,0.04203441353836246,90.0,0,0,0,,,,0,0,0,
MSFT,2025-05-02,432.946661766723,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0232251998119406,0.0034837526036618827,0.0007995595689533564,0.027510451380240955,0.029092528008739113,0.9456191422064484,0.09669957469862267,0.11841884374258116,89.0,0,0,0,,,,0,0,0,
MSFT,2025-05-05,433.831890881253,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0020446609079225464,0.004342157447065772,0.0011494627968979228,0.0262408928592087,0.029288323477928428,0.8959506637170181,0.10817677554335459,0.16527412677009667,86.0,0,0,0,,,,0,0,0,
MSFT,2025-05-06,430.987222041304,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.006557076369306469,0.004029449059930804,0.0010815136533036636,0.022843317588285006,0.02926015071767463,0.7806971949220505,0.1119823143382237,0.20288470657593216,85.0,0,0,0,,,,0,0,0,
MSFT,2025-05-07,431.027007619485,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,9.231266298925789e-05,0.0036558252377277647,0.001215523421316859,0.02429662696343013,0.029323425811886964,0.828573957193668,0.09806252194478426,0.20183007573797462,84.0,0,0,0,,,,0,0,0,
MSFT,2025-05-08,435.821169790308,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.011122649128880724,0.003482517536290138,0.0011165942008027267,0.02482283029771147,0.029328788798482087,0.8463639759646732,0.0950587022354269,0.21114387166257254,83.0,0,0,0,,,,0,0,0,
MSFT,2025-05-09,436.378167884843,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0012780427687875129,0.00429106985516257,0.0013335082444326093,0.023866256758350204,0.02918892717160269,0.817647617469449,0.02992774614242666,0.12092965256040789,82.0,0,0,0,,,,0,0,0,
MSFT,2025-05-12,446.851721341017,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.024001094066965267,0.004281530517824121,0.0014520284789256894,0.024138941154976914,0.02918989581990008,0.8269622236376842,0.007980589099273572,0.14561418461189102,79.0,0,0,0,,,,0,0,0,
MSFT,2025-05-13,446.732364606474,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0002671059074916826,0.006086909468843593,0.0017909279963792175,0.023926488511228087,0.0286562817226131,0.8349474207027822,0.029937022258316293,0.1509972112866973,78.0,0,0,0,,,,0,0,0,
MSFT,2025-05-14,450.511994533679,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.008460613617136348,0.006378076336341169,0.0018721357690988224,0.024287390111197644,0.028541828701423345,0.850940224092455,0.03622699272013108,0.1523776790695116,77.0,0,0,0,,,,0,0,0,
MSFT,2025-05-15,451.526526777297,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.002251953901178938,0.006056280314935584,0.0019637699299769403,0.024092265541667445,0.028459245185002226,0.8465532161887364,0.04459529367427817,0.16620174386119435,76.0,0,0,0,,,,0,0,0,
MSFT,2025-05-16,452.662492704351,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.0025158343080344814,0.006135706277719474,0.0017925826434196008,0.010185475168984427,0.028444703665241097,0.3580798481451888,0.03572459844657638,0.20505961381764504,75.0,0,0,0,,,,0,0,0,
MSFT,2025-05-19,457.246214866149,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.010126136438681543,0.007007236861839786,0.0017465126365862431,0.008364279565322714,0.027896513262316933,0.29983243736131426,0.03696238998582335,0.21788195225635343,72.0,0,0,0,,,,0,0,0,
MSFT,2025-05-20,456.548691928484,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.0015254865212370738,0.008530305373059602,0.002232490141862196,0.008490755842167626,0.026714267094940167,0.3178360017136994,0.023087432357539628,0.2515547742135513,71.0,0,0,0,,,,0,0,0,
MSFT,2025-05-21,450.968508427165,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.01222253748608515,0.008662870673396664,0.002378954018590884,0.007833525674280181,0.026652025589116633,0.2939185859659014,0.021829051743794237,0.22858798673441605,70.0,0,0,0,,,,0,0,0,
MSFT,2025-05-22,453.250404894668,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.005059990719666008,0.008562835532580781,0.0024268952255059833,0.009600253269357602,0.026726993664238162,0.3591968999567334,0.001145900640572739,0.19572862464770946,69.0,0,0,0,,,,0,0,0,
MSFT,2025-05-23,448.586965825709,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,-0.01028888009497253,0.005353606282201469,0.002434575978934624,0.009328338023550877,0.02018185231811974,0.46221416530610904,0.003953937459059809,0.16630585674668552,68.0,0,0,0,,,,0,0,0,
MSFT,2025-05-27,459.059774504078,2025-07-30,2025-06-30,Technology,Software - Infrastructure,28.88254604140025,1.073,0.023346217068727748,0.005790859921792239,0.0025632972807982453,0.010359113085182349,0.019672943337732576,0.5265665084956371,-0.008850776943947203,0.1442689776845043,64.0,0,0,0,,,,0,0,0,
