stock,sector,sub_sector,market_cap_log,beta
NVDA,Technology,Semiconductors,29.14771856453688,2.314
NTRS,Financial Services,Asset Management,24.06219373327889,1.285
NUE,Basic Materials,Steel,24.437005962893828,1.88
NVR,Consumer Cyclical,Residential Construction,23.781217400298893,1.013
NWS,Communication Services,Entertainment,23.56689571231133,0.974
NXPI,Technology,Semiconductors,24.784451413102044,1.466
O,Real Estate,REIT - Retail,24.73765269126017,0.807
NWSA,Communication Services,Entertainment,23.473026367482554,0.974
ODFL,Industrials,Trucking,24.318327276144057,1.276
OKE,Energy,Oil & Gas Midstream,24.60206068289876,0.92
ON,Technology,Semiconductors,23.933126958559004,1.543
OMC,Communication Services,Advertising Agencies,23.954503972593223,0.755
ORCL,Technology,Software - Infrastructure,26.993976363243576,1.651
ORLY,Consumer Cyclical,Auto Parts,25.166424814312904,0.631
OTIS,Industrials,Specialty Industrial Machinery,24.28929254290098,1.014
PANW,Technology,Software - Infrastructure,25.5791863161567,0.754
PAYC,Technology,Software - Application,22.83280046917833,0.824
OXY,Energy,Oil & Gas E&P,24.48982448611406,0.38
PAYX,Technology,Software - Application,24.355479727420374,0.903
PCAR,Industrials,Farm & Heavy Construction Machinery,24.875914615348396,1.024
PCG,Utilities,Utilities - Regulated Electric,24.230092764314563,0.379
PEG,Utilities,Utilities - Regulated Electric,24.396416271251276,0.613
PFE,Healthcare,Drug Manufacturers - General,25.71323410609606,0.433
PEP,Consumer Defensive,Beverages - Non - Alcoholic,26.00881199576739,0.421
PFG,Financial Services,Asset Management,23.74582050890064,0.9
PG,Consumer Defensive,Household & Personal Products,26.57670415046484,0.388
PGR,Financial Services,Insurance - Property & Casualty,25.522542338408723,0.341
PH,Industrials,Specialty Industrial Machinery,25.493219379321424,1.253
PHM,Consumer Cyclical,Residential Construction,23.93356472240352,1.339
PKG,Consumer Cyclical,Packaging & Containers,23.724853777370114,0.894
PLD,Real Estate,REIT - Industrial,25.492481426841177,1.418
PLTR,Technology,Software - Infrastructure,26.724130274968044,1.545
PNC,Financial Services,Banks - Regional,25.20994232457719,0.992
PM,Consumer Defensive,Tobacco,26.330409196247807,0.42
PNW,Utilities,Utilities - Regulated Electric,23.1288160644021,0.543
PNR,Industrials,Specialty Industrial Machinery,23.59226260883808,1.214
PODD,Healthcare,Medical Devices,23.672380580930227,1.4
POOL,Industrials,Industrial Distribution,23.016375342826645,1.223
PPG,Basic Materials,Specialty Chemicals,23.954558021359624,1.164
