stock,date,price
AAPL,2025-09-08,237.64962768554688
AAPL,2025-09-09,234.123046875
AAPL,2025-09-10,226.5703582763672
AAPL,2025-09-11,229.80722045898438
AAPL,2025-09-12,233.84332275390625
AAPL,2025-09-15,236.47076416015625
AAPL,2025-09-16,237.9193572998047
AAPL,2025-09-17,238.75856018066406
AAPL,2025-09-18,237.64962768554688
AAPL,2025-09-19,245.26223754882812
AAPL,2025-09-22,255.8319854736328
AAPL,2025-09-23,254.18359375
AAPL,2025-09-24,252.06564331054688
AAPL,2025-09-25,256.6212158203125
AAPL,2025-09-26,255.2126007080078
AAPL,2025-09-29,254.18359375
AAPL,2025-09-30,254.38340759277344
AAPL,2025-10-01,255.20260620117188
AAPL,2025-10-02,256.8809814453125
AAPL,2025-10-03,257.7701110839844
AAPL,2025-10-06,256.44140625
AAPL,2025-10-07,256.23162841796875
AAPL,2025-10-08,257.8100891113281
AAPL,2025-10-09,253.79396057128906
AAPL,2025-10-10,245.032470703125
AAPL,2025-10-13,247.42015075683594
AAPL,2025-10-14,247.53004455566406
AAPL,2025-10-15,249.09852600097656
AAPL,2025-10-16,247.21035766601562
AAPL,2025-10-17,252.045654296875
AAPL,2025-10-20,261.98602294921875
AAPL,2025-10-21,262.5155029296875
AAPL,2025-10-22,258.19970703125
AAPL,2025-10-23,259.3285827636719
AAPL,2025-10-24,262.56549072265625
AAPL,2025-10-27,268.5496520996094
AAPL,2025-10-28,268.7394714355469
AAPL,2025-10-29,269.4388122558594
AAPL,2025-10-30,271.13714599609375
AAPL,2025-10-31,270.108154296875
AAPL,2025-11-03,268.7894287109375
AAPL,2025-11-04,269.7784729003906
AAPL,2025-11-05,269.8783874511719
AAPL,2025-11-06,269.50872802734375
AAPL,2025-11-07,268.2099914550781
AAPL,2025-11-10,269.42999267578125
AAPL,2025-11-11,275.25
AAPL,2025-11-12,273.4700012207031
AAPL,2025-11-13,272.95001220703125
AAPL,2025-11-14,272.4100036621094
AAPL,2025-11-17,267.4599914550781
AAPL,2025-11-18,267.44000244140625
AAPL,2025-11-19,268.55999755859375
AAPL,2025-11-20,266.25
AAPL,2025-11-21,271.489990234375
AAPL,2025-11-24,275.9200134277344
AAPL,2025-11-25,276.9700012207031
AAPL,2025-11-26,277.54998779296875
AAPL,2025-11-28,278.8500061035156
MSFT,2025-01-02,415.51483154296875
MSFT,2025-01-03,420.24993896484375
MSFT,2025-01-06,424.71697998046875
MSFT,2025-01-07,419.2770690917969
MSFT,2025-01-08,421.4510192871094
MSFT,2025-01-10,415.88214111328125
MSFT,2025-01-13,414.135009765625
MSFT,2025-01-14,412.62615966796875
MSFT,2025-01-15,423.1882019042969
MSFT,2025-01-16,421.47088623046875
MSFT,2025-01-17,425.8883056640625
MSFT,2025-01-21,425.3621826171875
MSFT,2025-01-22,442.9326171875
MSFT,2025-01-23,443.4388122558594
MSFT,2025-01-24,440.8082275390625
MSFT,2025-01-27,431.3778381347656
MSFT,2025-01-28,443.9252624511719
MSFT,2025-01-29,439.0909118652344
MSFT,2025-01-30,411.95111083984375
MSFT,2025-01-31,412.0205993652344
MSFT,2025-02-03,407.91094970703125
MSFT,2025-02-04,409.35028076171875
MSFT,2025-02-05,410.2635803222656
MSFT,2025-02-06,412.7750244140625
MSFT,2025-02-07,406.7494812011719
MSFT,2025-02-10,409.201416015625
MSFT,2025-02-11,408.4271240234375
MSFT,2025-02-12,406.0447082519531
MSFT,2025-02-13,407.5337219238281
MSFT,2025-02-14,405.43914794921875
MSFT,2025-02-18,406.64031982421875
MSFT,2025-02-19,411.73272705078125
MSFT,2025-02-20,413.91107177734375
MSFT,2025-02-21,406.03326416015625
MSFT,2025-02-24,401.8457336425781
MSFT,2025-02-25,395.77825927734375
MSFT,2025-02-26,397.5985412597656
MSFT,2025-02-27,390.4368896484375
MSFT,2025-02-28,394.87310791015625
MSFT,2025-03-03,386.4184265136719
MSFT,2025-03-04,386.53778076171875
MSFT,2025-03-05,398.8816223144531
MSFT,2025-03-06,394.773681640625
MSFT,2025-03-07,391.2127380371094
MSFT,2025-03-10,378.1328430175781
MSFT,2025-03-11,378.4213562011719
MSFT,2025-03-12,381.2262878417969
MSFT,2025-03-13,376.750244140625
MSFT,2025-03-14,386.4880676269531
MSFT,2025-03-17,386.6273193359375
MSFT,2025-03-18,381.4749450683594
MSFT,2025-03-19,385.75201416015625
MSFT,2025-03-20,384.7772521972656
MSFT,2025-03-21,389.1736755371094
MSFT,2025-03-24,390.98394775390625
MSFT,2025-03-25,393.0528869628906
MSFT,2025-03-26,387.89056396484375
MSFT,2025-03-27,388.4972839355469
MSFT,2025-03-28,376.78009033203125
MSFT,2025-03-31,373.3883056640625
MSFT,2025-04-01,380.1520080566406
MSFT,2025-04-02,380.1023254394531
MSFT,2025-04-03,371.12042236328125
MSFT,2025-04-04,357.92120361328125
MSFT,2025-04-07,355.9517822265625
MSFT,2025-04-08,352.66937255859375
MSFT,2025-04-09,388.40777587890625
MSFT,2025-04-10,379.3165283203125
MSFT,2025-04-11,386.378662109375
MSFT,2025-04-14,385.7420654296875
MSFT,2025-04-15,383.6731872558594
MSFT,2025-04-16,369.6284484863281
MSFT,2025-04-17,365.8188781738281
MSFT,2025-04-21,357.2050476074219
MSFT,2025-04-22,364.864013671875
MSFT,2025-04-23,372.3936462402344
MSFT,2025-04-24,385.2347717285156
MSFT,2025-04-25,389.7605285644531
MSFT,2025-04-28,389.07421875
MSFT,2025-04-29,391.9388732910156
MSFT,2025-04-30,393.15234375
MSFT,2025-05-01,423.1316223144531
MSFT,2025-05-02,432.9589538574219
MSFT,2025-05-05,433.8442077636719
MSFT,2025-05-06,430.99945068359375
MSFT,2025-05-07,431.03924560546875
MSFT,2025-05-08,435.83355712890625
MSFT,2025-05-09,436.3905334472656
MSFT,2025-05-12,446.8644104003906
MSFT,2025-05-13,446.74505615234375
MSFT,2025-05-14,450.5247802734375
MSFT,2025-05-15,451.54119873046875
MSFT,2025-05-16,452.6772155761719
MSFT,2025-05-19,457.26104736328125
MSFT,2025-05-20,456.56353759765625
MSFT,2025-05-21,450.983154296875
MSFT,2025-05-22,453.26513671875
MSFT,2025-05-23,448.6015625
MSFT,2025-05-27,459.0746765136719
MSFT,2025-05-28,455.7563781738281
MSFT,2025-05-29,457.0717468261719
MSFT,2025-05-30,458.7458190917969
MSFT,2025-06-02,460.3502197265625
MSFT,2025-06-03,461.3467102050781
MSFT,2025-06-04,462.2435302734375
MSFT,2025-06-05,466.0401611328125
MSFT,2025-06-06,468.730712890625
MSFT,2025-06-09,471.0924072265625
MSFT,2025-06-10,469.2688293457031
MSFT,2025-06-11,470.9628601074219
MSFT,2025-06-12,477.1909484863281
MSFT,2025-06-13,473.2946472167969
MSFT,2025-06-16,477.46002197265625
MSFT,2025-06-17,476.3638610839844
MSFT,2025-06-18,478.5561218261719
MSFT,2025-06-20,475.7261047363281
MSFT,2025-06-23,484.2959289550781
MSFT,2025-06-24,488.3915100097656
MSFT,2025-06-25,490.5439453125
MSFT,2025-06-26,495.705810546875
MSFT,2025-06-27,494.20111083984375
MSFT,2025-06-30,495.66595458984375
MSFT,2025-07-01,490.3247375488281
MSFT,2025-07-02,489.36810302734375
MSFT,2025-07-03,497.0909423828125
MSFT,2025-07-07,495.974853515625
MSFT,2025-07-08,494.8786926269531
MSFT,2025-07-09,501.74456787109375
MSFT,2025-07-10,499.7216796875
MSFT,2025-07-11,501.55523681640625
MSFT,2025-07-14,501.2562561035156
MSFT,2025-07-15,504.04644775390625
MSFT,2025-07-16,503.8471374511719
MSFT,2025-07-17,509.9058532714844
MSFT,2025-07-18,508.2616271972656
MSFT,2025-07-21,508.2715759277344
MSFT,2025-07-22,503.4983825683594
MSFT,2025-07-23,504.0962829589844
MSFT,2025-07-24,509.0887145996094
MSFT,2025-07-25,511.9088439941406
MSFT,2025-07-28,510.7030334472656
MSFT,2025-07-29,510.7727966308594
MSFT,2025-07-30,511.4404296875
MSFT,2025-07-31,531.62939453125
MSFT,2025-08-01,522.2723388671875
MSFT,2025-08-04,533.7619018554688
MSFT,2025-08-05,525.8995361328125
MSFT,2025-08-06,523.0994262695312
MSFT,2025-08-07,519.0138549804688
MSFT,2025-08-08,520.2095947265625
MSFT,2025-08-11,519.9405517578125
MSFT,2025-08-12,527.3843383789062
MSFT,2025-08-13,518.7547607421875
MSFT,2025-08-14,520.6480102539062
MSFT,2025-08-15,518.3461303710938
MSFT,2025-08-18,515.286865234375
MSFT,2025-08-19,507.98260498046875
MSFT,2025-08-20,503.9468078613281
MSFT,2025-08-21,503.2980041503906
MSFT,2025-08-22,506.2824401855469
MSFT,2025-08-25,503.3179931640625
MSFT,2025-08-26,501.1021423339844
MSFT,2025-08-27,505.7933349609375
MSFT,2025-08-28,508.68792724609375
MSFT,2025-08-29,505.7434387207031
MSFT,2025-09-02,504.1763610839844
MSFT,2025-09-03,504.40594482421875
MSFT,2025-09-04,507.02105712890625
MSFT,2025-09-05,494.0752868652344
MSFT,2025-09-08,497.2693176269531
MSFT,2025-09-09,497.4789123535156
MSFT,2025-09-10,499.43524169921875
MSFT,2025-09-11,500.0740661621094
MSFT,2025-09-12,508.94744873046875
MSFT,2025-09-15,514.397216796875
MSFT,2025-09-16,508.08905029296875
MSFT,2025-09-17,509.06719970703125
MSFT,2025-09-18,507.5001525878906
MSFT,2025-09-19,516.96240234375
MSFT,2025-09-22,513.4889526367188
MSFT,2025-09-23,508.2787170410156
MSFT,2025-09-24,509.19696044921875
MSFT,2025-09-25,506.0827941894531
MSFT,2025-09-26,510.5045166015625
MSFT,2025-09-29,513.6386108398438
MSFT,2025-09-30,516.982421875
MSFT,2025-10-01,518.7391357421875
MSFT,2025-10-02,514.7765502929688
MSFT,2025-10-03,516.3834838867188
MSFT,2025-10-06,527.5825805664062
MSFT,2025-10-07,523.0010986328125
MSFT,2025-10-08,523.8695068359375
MSFT,2025-10-09,521.4241333007812
MSFT,2025-10-10,510.0054626464844
MSFT,2025-10-13,513.0896606445312
MSFT,2025-10-14,512.610595703125
MSFT,2025-10-15,512.4708251953125
MSFT,2025-10-16,510.65423583984375
MSFT,2025-10-17,512.62060546875
MSFT,2025-10-20,515.8245239257812
MSFT,2025-10-21,516.6929321289062
MSFT,2025-10-22,519.5675659179688
MSFT,2025-10-23,519.5875244140625
MSFT,2025-10-24,522.6318359375
MSFT,2025-10-27,530.527099609375
MSFT,2025-10-28,541.057373046875
MSFT,2025-10-29,540.538330078125
MSFT,2025-10-30,524.77783203125
MSFT,2025-10-31,516.8426513671875
MSFT,2025-11-03,516.0641479492188
MSFT,2025-11-04,513.3692016601562
MSFT,2025-11-05,506.2125549316406
MSFT,2025-11-06,496.1713562011719
MSFT,2025-11-07,495.8918762207031
MSFT,2025-11-10,505.0547180175781
MSFT,2025-11-11,507.7297058105469
MSFT,2025-11-12,510.1851501464844
MSFT,2025-11-13,502.34979248046875
MSFT,2025-11-14,509.2268981933594
MSFT,2025-11-17,506.54193115234375
MSFT,2025-11-18,492.8675537109375
MSFT,2025-11-19,486.2099914550781
MSFT,2025-11-20,478.42999267578125
MSFT,2025-11-21,472.1199951171875
MSFT,2025-11-24,474.0
MSFT,2025-11-25,476.989990234375
MSFT,2025-11-26,485.5
MSFT,2025-11-28,492.010009765625
